epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4903,1.58883,3.02432,1.42075,0.70259,0.4371,0.44851,0.21599,1.78281,2.52569,1.36019,0.000552278,0.000552278,0.000552278
2,112.303,1.59033,2.29805,1.42791,0.71862,0.51853,0.55692,0.26428,1.71923,2.37134,1.33954,0.00108601,0.00108601,0.00108601
3,168.063,1.62503,2.05854,1.42245,0.65524,0.37442,0.42459,0.19507,1.85578,2.01206,1.35993,0.00159773,0.00159773,0.00159773
4,222.714,1.60745,1.90959,1.42947,0.66136,0.53043,0.57823,0.2502,1.87254,2.09306,1.40096,0.00156798,0.00156798,0.00156798
5,277.328,1.5688,1.79133,1.39194,0.79478,0.565,0.63479,0.29452,1.7373,1.43534,1.2773,0.00153497,0.00153497,0.00153497
6,332.66,1.51147,1.64253,1.37458,0.90485,0.64354,0.71793,0.38257,1.65804,1.59108,1.23221,0.00150197,0.00150197,0.00150197
7,388.51,1.48341,1.59099,1.33602,0.87074,0.65379,0.71289,0.39224,1.71627,1.25854,1.25064,0.00146896,0.00146896,0.00146896
8,443.344,1.44969,1.52478,1.34114,0.96679,0.62987,0.76281,0.37352,1.66213,1.19597,1.23685,0.00143595,0.00143595,0.00143595
9,498.295,1.43968,1.44305,1.30967,0.93198,0.66656,0.74949,0.4087,1.52156,1.20869,1.18973,0.00140295,0.00140295,0.00140295
10,553.113,1.40615,1.38837,1.29123,0.93165,0.65292,0.73629,0.37308,1.61652,1.29355,1.19824,0.00136994,0.00136994,0.00136994
11,607.471,1.3748,1.33071,1.27949,0.91851,0.6211,0.76386,0.37902,1.65337,1.11521,1.22812,0.00133693,0.00133693,0.00133693
12,661.374,1.3816,1.30534,1.27456,0.93793,0.68301,0.77196,0.44261,1.5381,1.02508,1.15207,0.00130393,0.00130393,0.00130393
13,716.595,1.35926,1.25052,1.26546,0.92142,0.69668,0.78675,0.44129,1.45371,1.01563,1.14114,0.00127092,0.00127092,0.00127092
14,773.137,1.31932,1.19074,1.24085,0.89757,0.6909,0.77553,0.42821,1.48769,1.01213,1.15554,0.00123791,0.00123791,0.00123791
15,829.344,1.30548,1.16595,1.22584,0.94792,0.70985,0.77702,0.39073,1.6045,0.98229,1.18353,0.00120491,0.00120491,0.00120491
16,885.389,1.29728,1.15834,1.22966,0.9265,0.69899,0.78389,0.40836,1.52236,0.91495,1.19097,0.0011719,0.0011719,0.0011719
17,942.156,1.28249,1.12955,1.22978,0.93365,0.69162,0.78327,0.43205,1.56257,0.97311,1.18267,0.00113889,0.00113889,0.00113889
18,998.497,1.28113,1.10336,1.21229,0.95167,0.74744,0.81511,0.46321,1.5711,0.9039,1.15543,0.00110589,0.00110589,0.00110589
