epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.3265,1.31169,1.93412,1.3716,0.72967,0.65219,0.74549,0.46443,1.26864,1.46582,1.36885,0.000474253,0.000474253,0.000474253
2,122.879,1.25237,1.37147,1.31006,0.77633,0.67376,0.75605,0.47341,1.31863,1.26744,1.3982,0.000931765,0.000931765,0.000931765
3,184.708,1.2564,1.25974,1.31801,0.75445,0.64933,0.73453,0.46609,1.24304,1.26833,1.35275,0.00137041,0.00137041,0.00137041
4,249.678,1.25019,1.18231,1.3097,0.71621,0.67024,0.76432,0.49995,1.22731,1.2382,1.38066,0.00134412,0.00134412,0.00134412
5,313.239,1.18779,1.0878,1.26984,0.88341,0.79682,0.87407,0.61478,1.08535,0.84165,1.21878,0.00131582,0.00131582,0.00131582
6,377.169,1.15775,1.0234,1.25015,0.85654,0.78876,0.87229,0.60049,1.08862,0.85911,1.2133,0.00128753,0.00128753,0.00128753
7,441.094,1.12395,0.96626,1.22669,0.86609,0.80228,0.88094,0.62221,1.07001,0.81536,1.20691,0.00125923,0.00125923,0.00125923
8,505.2,1.11248,0.95393,1.22395,0.87908,0.79565,0.88174,0.63999,1.05383,0.81477,1.19584,0.00123094,0.00123094,0.00123094
9,569.216,1.09884,0.924,1.21408,0.8965,0.81928,0.89605,0.65299,1.00813,0.74976,1.16315,0.00120265,0.00120265,0.00120265
10,632.709,1.07927,0.8943,1.20667,0.91008,0.82686,0.90422,0.67172,0.98871,0.71149,1.14443,0.00117435,0.00117435,0.00117435
11,696.629,1.05487,0.85583,1.1842,0.89379,0.83175,0.89947,0.6553,1.00061,0.73372,1.15544,0.00114606,0.00114606,0.00114606
12,761.045,1.04352,0.84275,1.18372,0.92363,0.82933,0.91003,0.65443,1.00707,0.70301,1.16119,0.00111776,0.00111776,0.00111776
13,825.364,1.0262,0.82306,1.17209,0.89866,0.8268,0.90499,0.66594,0.97479,0.70859,1.13961,0.00108947,0.00108947,0.00108947
14,889.863,0.9994,0.78914,1.15853,0.90274,0.85014,0.91241,0.68068,0.94854,0.70569,1.12503,0.00106118,0.00106118,0.00106118
15,953.812,1.00821,0.79634,1.15836,0.92372,0.84673,0.92169,0.69642,0.94096,0.65001,1.11853,0.00103288,0.00103288,0.00103288
16,1018.05,1.00316,0.77523,1.14707,0.91467,0.84227,0.91084,0.68711,0.95025,0.65635,1.11761,0.00100459,0.00100459,0.00100459
17,1082.12,0.97878,0.76328,1.14275,0.93275,0.8458,0.92376,0.69877,0.92757,0.63461,1.10582,0.000976293,0.000976293,0.000976293
18,1146.28,0.96185,0.73815,1.13472,0.92885,0.8623,0.92766,0.70547,0.92016,0.61323,1.09861,0.000947999,0.000947999,0.000947999
19,1210.58,0.96043,0.72705,1.1295,0.9242,0.8595,0.92228,0.69721,0.92464,0.63481,1.09849,0.000919704,0.000919704,0.000919704
