epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.098,1.65718,2.7463,1.86891,0.25483,0.22536,0.14734,0.07143,1.97225,2.81667,2.04136,0.000276235,0.000276235,0.000276235
2,230.676,1.63965,2.57726,1.85861,0.31717,0.20256,0.15604,0.07774,1.86438,2.76994,2.05029,0.000548917,0.000548917,0.000548917
3,343.473,1.6164,2.58077,1.86178,0.27352,0.21775,0.14238,0.06707,1.84168,2.86151,2.09851,0.0008166,0.0008166,0.0008166
4,457.264,1.59951,2.65248,1.86679,0.30787,0.22195,0.17014,0.0841,1.834,2.6888,2.02483,0.000810509,0.000810509,0.000810509
5,571.491,1.5804,2.5833,1.85208,0.41105,0.23436,0.19135,0.10003,1.81151,2.7483,2.02864,0.000803012,0.000803012,0.000803012
6,683.29,1.53757,2.52824,1.81903,0.39685,0.24678,0.21363,0.11118,1.76616,2.48791,1.98167,0.000795515,0.000795515,0.000795515
7,794.917,1.54034,2.50679,1.82952,0.449,0.25451,0.23307,0.12285,1.71256,2.45292,1.94341,0.000788018,0.000788018,0.000788018
8,907.463,1.49894,2.43805,1.79243,0.44094,0.28305,0.25618,0.13664,1.70668,2.41773,1.94788,0.000780521,0.000780521,0.000780521
9,1019.47,1.47397,2.4283,1.78076,0.48065,0.28637,0.27168,0.1478,1.6609,2.36116,1.89225,0.000773024,0.000773024,0.000773024
10,1131.71,1.46049,2.39082,1.76679,0.49379,0.27444,0.26796,0.14688,1.6665,2.32129,1.88023,0.000765527,0.000765527,0.000765527
11,1242.98,1.45478,2.34575,1.7546,0.49498,0.29866,0.28319,0.15516,1.6473,2.2783,1.88553,0.00075803,0.00075803,0.00075803
12,1355.31,1.44451,2.32136,1.75057,0.50212,0.30002,0.28421,0.15726,1.6425,2.25739,1.88115,0.000750533,0.000750533,0.000750533
13,1467.69,1.43066,2.3078,1.74301,0.52147,0.31298,0.30003,0.16563,1.65147,2.22544,1.87374,0.000743036,0.000743036,0.000743036
14,1579.71,1.41446,2.25438,1.72562,0.51734,0.31524,0.30484,0.16995,1.62317,2.1983,1.84792,0.000735539,0.000735539,0.000735539
15,1690.36,1.41179,2.27109,1.72472,0.56038,0.31422,0.31213,0.17555,1.60454,2.22177,1.85742,0.000728042,0.000728042,0.000728042
16,1802.41,1.38137,2.18529,1.69911,0.54541,0.31773,0.31637,0.17682,1.60781,2.18472,1.83673,0.000720545,0.000720545,0.000720545
17,1913.8,1.39344,2.22777,1.71168,0.53107,0.33402,0.32367,0.18362,1.61237,2.15455,1.84301,0.000713048,0.000713048,0.000713048
18,2025.49,1.35962,2.16204,1.68664,0.58068,0.33863,0.33543,0.18928,1.57913,2.0892,1.81965,0.000705551,0.000705551,0.000705551
19,2136.89,1.35271,2.14694,1.68499,0.56211,0.34322,0.34086,0.1981,1.54619,2.09697,1.81704,0.000698054,0.000698054,0.000698054
20,2248.2,1.35427,2.13991,1.68693,0.58087,0.33526,0.33565,0.18979,1.56714,2.09894,1.81773,0.000690557,0.000690557,0.000690557
21,2359.97,1.35562,2.11176,1.68024,0.5628,0.3397,0.33858,0.19953,1.54741,2.0849,1.79938,0.00068306,0.00068306,0.00068306
22,2472.48,1.33931,2.08154,1.66778,0.60255,0.34949,0.3538,0.2064,1.57903,2.04559,1.83224,0.000675563,0.000675563,0.000675563
23,2584.42,1.31861,2.0642,1.66506,0.58879,0.34753,0.34709,0.20243,1.53941,2.05873,1.81332,0.000668066,0.000668066,0.000668066
24,2695.86,1.34212,2.06433,1.66322,0.57353,0.33731,0.33897,0.19749,1.5715,2.06713,1.80953,0.000660569,0.000660569,0.000660569
25,2806.89,1.29952,2.01637,1.643,0.58823,0.36956,0.3664,0.21783,1.50871,1.98225,1.78216,0.000653072,0.000653072,0.000653072
26,2919.04,1.29497,1.99839,1.6385,0.59953,0.37216,0.37082,0.2193,1.53074,1.96601,1.77741,0.000645575,0.000645575,0.000645575
27,3029.99,1.29346,1.99867,1.63343,0.58982,0.37665,0.37046,0.22022,1.50596,1.98246,1.79146,0.000638078,0.000638078,0.000638078
28,3140.63,1.29984,1.99427,1.63377,0.59712,0.37148,0.36918,0.21852,1.5319,1.9658,1.77938,0.000630581,0.000630581,0.000630581
29,3251.63,1.28555,1.96568,1.62069,0.60122,0.36729,0.37051,0.22108,1.51617,1.94834,1.77615,0.000623084,0.000623084,0.000623084
30,3362.63,1.2621,1.94047,1.60922,0.61407,0.38247,0.38451,0.23078,1.51021,1.92664,1.75525,0.000615587,0.000615587,0.000615587
31,3473.49,1.26425,1.94175,1.60898,0.58469,0.36973,0.36639,0.22133,1.48125,1.98279,1.74815,0.00060809,0.00060809,0.00060809
32,3583.59,1.23677,1.89087,1.5933,0.61837,0.38584,0.3842,0.23004,1.48927,1.92573,1.75792,0.000600593,0.000600593,0.000600593
33,3694.52,1.24275,1.89957,1.60225,0.6249,0.37871,0.38007,0.22903,1.49454,1.93921,1.75706,0.000593096,0.000593096,0.000593096
34,3805.78,1.22925,1.87698,1.58236,0.61663,0.37937,0.37958,0.23001,1.47641,1.91366,1.7351,0.000585599,0.000585599,0.000585599
35,3917.25,1.22698,1.86803,1.57898,0.62443,0.37628,0.38553,0.23553,1.48082,1.90234,1.72792,0.000578102,0.000578102,0.000578102
36,4028.54,1.2104,1.83801,1.56945,0.60137,0.37775,0.37887,0.23124,1.47214,1.90505,1.73114,0.000570605,0.000570605,0.000570605
37,4139.35,1.2071,1.85765,1.56893,0.61485,0.38997,0.39109,0.24117,1.46172,1.86679,1.73087,0.000563108,0.000563108,0.000563108
