epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.40995,0,47.5913,0,0,0,0,0,0,66.1473,0,0,0,0
2,6.78727,0,47.5799,0,0,0,0,0,0,66.2022,0,1.63399e-05,1.63399e-05,1.63399e-05
3,9.95881,0,47.4521,0,0,0,0,0,0,66.2685,0,3.20197e-05,3.20197e-05,3.20197e-05
4,13.7846,0,47.269,0,0,0,0,0,0,66.335,0,4.70394e-05,4.70394e-05,4.70394e-05
5,16.9714,0,47.0924,0,0,0,0,0,0,66.3968,0,6.13989e-05,6.13989e-05,6.13989e-05
6,20.4745,0,46.8712,0,0,0,0,0,0,66.4518,0,7.50984e-05,7.50984e-05,7.50984e-05
7,23.7054,0,46.6457,0,0,0,0,0,0,66.4945,0,8.81376e-05,8.81376e-05,8.81376e-05
8,27.2495,0,46.4184,0,0,0,0,0,0,66.514,0,0.000100517,0.000100517,0.000100517
9,30.5921,0,46.1391,0,0,0,0,0,0,66.5076,0,0.000112236,0.000112236,0.000112236
10,34.0074,0,46.0118,0,0,0,0,0,0,66.4797,0,0.000123295,0.000123295,0.000123295
11,37.502,0,45.6717,0,0,0,0,0,0,66.4297,0,0.000133693,0.000133693,0.000133693
12,40.5819,0,45.419,0,0,0,0,0,0,66.3801,0,0.000143432,0.000143432,0.000143432
13,43.862,0,45.0161,0,0,0,0,0,0,66.3388,0,0.00015251,0.00015251,0.00015251
14,47.0696,0,44.4711,0,0,0,0,0,0,66.309,0,0.000160929,0.000160929,0.000160929
15,50.3108,0,44.2146,0,0,0,0,0,0,66.2908,0,0.000168687,0.000168687,0.000168687
16,53.6679,0,43.3838,0,0,0,0,0,0,66.289,0,0.000175785,0.000175785,0.000175785
17,57.0685,0,42.9603,0,0,0,0,0,0,66.3076,0,0.000182223,0.000182223,0.000182223
18,60.2536,0,42.618,0,0,0,0,0,0,66.3076,0,0.000188001,0.000188001,0.000188001
19,63.7268,0,42.3417,0,0,0,0,0,0,66.3412,0,0.000193119,0.000193119,0.000193119
20,66.7463,0,43.7662,0,0,0,0,0,0,66.3412,0,0.000197576,0.000197576,0.000197576
21,70.1876,0,43.9154,0,0,0,0,0,0,66.419,0,0.000201374,0.000201374,0.000201374
22,73.5848,0,41.58,0,0,0,0,0,0,66.419,0,0.000204511,0.000204511,0.000204511
23,77.11,0,41.5465,0,0,0,0,0,0,66.4127,0,0.000206988,0.000206988,0.000206988
24,80.478,0,43.0287,0,0,0,0,0,0,66.4127,0,0.000208805,0.000208805,0.000208805
25,83.9135,0,41.0669,0,0,0,0,0,0,66.6015,0,0.000209962,0.000209962,0.000209962
26,87.2757,0,40.4679,0,0,0,0,0,0,66.6015,0,0.000210459,0.000210459,0.000210459
27,90.9751,0,40.6409,0,0,0,0,0,0,66.904,0,0.000210295,0.000210295,0.000210295
28,144.496,0,40.2977,0,0,0,0,0,0,66.904,0,0.000209472,0.000209472,0.000209472
29,172.486,0,39.9332,0,0,0,0,0,0,67.4722,0,0.000207988,0.000207988,0.000207988
30,175.699,0,39.3965,0,0,0,0,0,0,67.4722,0,0.000205844,0.000205844,0.000205844
31,179.094,0,39.3652,0,0,0,0,0,0,67.4878,0,0.000203041,0.000203041,0.000203041
32,182.373,0,38.9804,0,0,0,0,0,0,67.4878,0,0.000199577,0.000199577,0.000199577
33,185.744,0,38.7953,0,0,0,0,0,0,66.9985,0,0.000195452,0.000195452,0.000195452
34,188.923,0,38.3219,0,0,0,0,0,0,66.9985,0,0.000190668,0.000190668,0.000190668
35,192.069,0,38.2951,0,0,0,0,0,0,66.0927,0,0.000185224,0.000185224,0.000185224
36,195.176,0,37.7713,0,0,0,0,0,0,66.0927,0,0.000179119,0.000179119,0.000179119
37,198.522,0,37.8126,0,0,0,0,0,0,65.3082,0,0.000172354,0.000172354,0.000172354
38,201.987,0,37.6118,0,0,0,0,0,0,65.3082,0,0.00016493,0.00016493,0.00016493
39,205.514,0,37.46,0,0,0,0,0,0,64.6292,0,0.000156845,0.000156845,0.000156845
40,208.74,0,37.2774,0,0,0,0,0,0,64.6292,0,0.0001481,0.0001481,0.0001481
41,212.052,0,37.2154,0,0,0,0,0,0,64.2507,0,0.000138694,0.000138694,0.000138694
42,215.052,0,36.7827,0,0,0,0,0,0,64.2507,0,0.000128629,0.000128629,0.000128629
43,218.488,0,37.0939,0,0,0,0,0,0,63.9973,0,0.000117904,0.000117904,0.000117904
44,221.775,0,36.4804,0,0,0,0,0,0,63.9973,0,0.000106518,0.000106518,0.000106518
45,225.116,0,36.7005,0,0,0,0,0,0,63.6394,0,9.44722e-05,9.44722e-05,9.44722e-05
46,228.332,0,36.3045,0,0,0,0,0,0,63.6394,0,8.17663e-05,8.17663e-05,8.17663e-05
47,231.797,0,36.3909,0,0,0,0,0,0,63.4301,0,6.84003e-05,6.84003e-05,6.84003e-05
48,234.939,0,36.1779,0,0,0,0,0,0,63.4301,0,5.43742e-05,5.43742e-05,5.43742e-05
49,238.376,0,36.2682,0,0,0,0,0,0,63.2032,0,3.96879e-05,3.96879e-05,3.96879e-05
50,241.657,0,36.2698,0,0,0,0,0,0,63.2032,0,2.43415e-05,2.43415e-05,2.43415e-05
