epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.52777,0,47.5913,0,0,0,0,0,0,66.1473,0,0,0,0
2,7.18689,0,47.5799,0,0,0,0,0,0,66.2022,0,1.63399e-05,1.63399e-05,1.63399e-05
3,10.6614,0,47.4521,0,0,0,0,0,0,66.2685,0,3.20197e-05,3.20197e-05,3.20197e-05
4,22.926,0,47.269,0,0,0,0,0,0,66.335,0,4.70394e-05,4.70394e-05,4.70394e-05
5,26.4809,0,47.0924,0,0,0,0,0,0,66.3968,0,6.13989e-05,6.13989e-05,6.13989e-05
6,29.4676,0,46.8712,0,0,0,0,0,0,66.4518,0,7.50984e-05,7.50984e-05,7.50984e-05
7,32.7499,0,46.6457,0,0,0,0,0,0,66.4945,0,8.81376e-05,8.81376e-05,8.81376e-05
8,35.9241,0,46.4184,0,0,0,0,0,0,66.514,0,0.000100517,0.000100517,0.000100517
9,39.0916,0,46.1391,0,0,0,0,0,0,66.5076,0,0.000112236,0.000112236,0.000112236
10,42.7095,0,46.0118,0,0,0,0,0,0,66.4797,0,0.000123295,0.000123295,0.000123295
11,51.746,0,45.6717,0,0,0,0,0,0,66.4297,0,0.000133693,0.000133693,0.000133693
12,60.3624,0,45.419,0,0,0,0,0,0,66.3801,0,0.000143432,0.000143432,0.000143432
13,71.0039,0,45.0161,0,0,0,0,0,0,66.3388,0,0.00015251,0.00015251,0.00015251
14,81.2005,0,44.4711,0,0,0,0,0,0,66.309,0,0.000160929,0.000160929,0.000160929
15,89.8562,0,44.2146,0,0,0,0,0,0,66.2908,0,0.000168687,0.000168687,0.000168687
16,98.55,0,43.3838,0,0,0,0,0,0,66.289,0,0.000175785,0.000175785,0.000175785
17,107.364,0,42.9603,0,0,0,0,0,0,66.3076,0,0.000182223,0.000182223,0.000182223
18,116.951,0,42.618,0,0,0,0,0,0,66.3076,0,0.000188001,0.000188001,0.000188001
19,126.354,0,42.3417,0,0,0,0,0,0,66.3412,0,0.000193119,0.000193119,0.000193119
20,140.214,0,43.7662,0,0,0,0,0,0,66.3412,0,0.000197576,0.000197576,0.000197576
21,151.651,0,43.9154,0,0,0,0,0,0,66.419,0,0.000201374,0.000201374,0.000201374
22,164.537,0,41.58,0,0,0,0,0,0,66.419,0,0.000204511,0.000204511,0.000204511
23,176.633,0,41.5465,0,0,0,0,0,0,66.4127,0,0.000206988,0.000206988,0.000206988
24,188.79,0,43.0287,0,0,0,0,0,0,66.4127,0,0.000208805,0.000208805,0.000208805
25,201.089,0,41.0669,0,0,0,0,0,0,66.6015,0,0.000209962,0.000209962,0.000209962
26,211.805,0,40.4679,0,0,0,0,0,0,66.6015,0,0.000210459,0.000210459,0.000210459
27,219.636,0,40.6409,0,0,0,0,0,0,66.904,0,0.000210295,0.000210295,0.000210295
28,231.892,0,40.2977,0,0,0,0,0,0,66.904,0,0.000209472,0.000209472,0.000209472
29,241.267,0,39.9332,0,0,0,0,0,0,67.4722,0,0.000207988,0.000207988,0.000207988
30,250.522,0,39.3965,0,0,0,0,0,0,67.4722,0,0.000205844,0.000205844,0.000205844
