Timestamp,ViolationType,PersonID,ScreenshotPath
2025-10-09 20:04:45,NO-Safety Vest,1,outputs_new\violation_screenshots\violation_2025-10-09_20-04-45.jpg
2025-10-09 20:04:45,NO-Safety Vest,2,outputs_new\violation_screenshots\violation_2025-10-09_20-04-45.jpg
2025-10-09 20:04:45,NO-Safety Vest,3,outputs_new\violation_screenshots\violation_2025-10-09_20-04-45.jpg
2025-10-09 20:05:05,NO-Safety Vest,7,outputs_new\violation_screenshots\violation_2025-10-09_20-05-05.jpg
2025-10-09 20:05:15,NO-Safety Vest,1,outputs_new\violation_screenshots\violation_2025-10-09_20-05-15.jpg
2025-10-09 20:05:15,NO-Safety Vest,2,outputs_new\violation_screenshots\violation_2025-10-09_20-05-15.jpg
2025-10-09 20:05:15,NO-Safety Vest,3,outputs_new\violation_screenshots\violation_2025-10-09_20-05-15.jpg
2025-10-09 20:05:36,NO-Safety Vest,7,outputs_new\violation_screenshots\violation_2025-10-09_20-05-36.jpg
2025-10-09 20:05:39,"NO-Safety Vest, NO-Hardhat",9,outputs_new\violation_screenshots\violation_2025-10-09_20-05-39.jpg
2025-10-09 20:05:47,NO-Safety Vest,10,outputs_new\violation_screenshots\violation_2025-10-09_20-05-47.jpg
2025-10-09 20:05:48,NO-Safety Vest,14,outputs_new\violation_screenshots\violation_2025-10-09_20-05-48.jpg
2025-10-09 20:05:56,NO-Safety Vest,1,outputs_new\violation_screenshots\violation_2025-10-09_20-05-56.jpg
2025-10-09 20:05:56,NO-Safety Vest,2,outputs_new\violation_screenshots\violation_2025-10-09_20-05-56.jpg
2025-10-09 20:05:56,NO-Safety Vest,3,outputs_new\violation_screenshots\violation_2025-10-09_20-05-56.jpg
2025-10-09 20:05:57,NO-Safety Vest,17,outputs_new\violation_screenshots\violation_2025-10-09_20-05-57.jpg
2025-10-09 20:06:02,NO-Safety Vest,1,outputs_new\violation_screenshots\violation_2025-10-09_20-06-02.jpg
2025-10-09 20:06:02,NO-Safety Vest,2,outputs_new\violation_screenshots\violation_2025-10-09_20-06-02.jpg
2025-10-09 20:06:02,NO-Safety Vest,3,outputs_new\violation_screenshots\violation_2025-10-09_20-06-02.jpg
2025-10-09 20:06:23,NO-Safety Vest,7,outputs_new\violation_screenshots\violation_2025-10-09_20-06-23.jpg
2025-10-09 20:06:27,"NO-Safety Vest, NO-Hardhat",9,outputs_new\violation_screenshots\violation_2025-10-09_20-06-27.jpg
2025-10-09 20:06:34,NO-Safety Vest,10,outputs_new\violation_screenshots\violation_2025-10-09_20-06-34.jpg
2025-10-09 20:06:35,NO-Safety Vest,14,outputs_new\violation_screenshots\violation_2025-10-09_20-06-35.jpg
2025-10-09 20:06:42,NO-Safety Vest,1,outputs_new\violation_screenshots\violation_2025-10-09_20-06-42.jpg
2025-10-09 20:06:42,NO-Safety Vest,2,outputs_new\violation_screenshots\violation_2025-10-09_20-06-42.jpg
2025-10-09 20:06:42,NO-Safety Vest,3,outputs_new\violation_screenshots\violation_2025-10-09_20-06-42.jpg
2025-10-09 20:06:44,NO-Safety Vest,17,outputs_new\violation_screenshots\violation_2025-10-09_20-06-44.jpg
2025-10-09 20:06:57,NO-Safety Vest,1,outputs_new\violation_screenshots\violation_2025-10-09_20-06-57.jpg
2025-10-09 20:06:57,NO-Safety Vest,2,outputs_new\violation_screenshots\violation_2025-10-09_20-06-57.jpg
2025-10-09 20:06:57,NO-Safety Vest,3,outputs_new\violation_screenshots\violation_2025-10-09_20-06-57.jpg
