epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.227,1.34061,2.38027,1.48105,0.44048,0.31382,0.28284,0.10973,2.2062,2.35838,2.21936,0.0671015,0.000332308,0.000332308
2,210.118,1.3199,2.10895,1.46527,0.46304,0.32141,0.33158,0.13832,2.12835,2.07043,2.10956,0.0340883,0.000652395,0.000652395
3,313.204,1.32543,2.06446,1.47322,0.53809,0.40455,0.43104,0.18477,2.03054,1.8619,2.02942,0.00106178,0.000959215,0.000959215
4,413.066,1.28733,1.98011,1.44377,0.58046,0.43289,0.46033,0.20623,1.9629,1.8528,1.9305,0.0009403,0.0009403,0.0009403
5,512.634,1.23939,1.86029,1.40611,0.64241,0.47251,0.52334,0.23876,1.85808,1.65397,1.87805,0.0009204,0.0009204,0.0009204
6,612.508,1.2081,1.79337,1.38987,0.70919,0.46655,0.53358,0.2287,1.98158,1.67932,1.93793,0.0009005,0.0009005,0.0009005
7,711.666,1.18919,1.70218,1.36331,0.64365,0.54576,0.56406,0.257,1.86173,1.46978,1.84542,0.0008806,0.0008806,0.0008806
8,812.996,1.16357,1.6655,1.35184,0.65047,0.51706,0.54505,0.26322,1.79287,1.55527,1.80264,0.0008607,0.0008607,0.0008607
9,912.939,1.14329,1.59933,1.33352,0.67212,0.56003,0.58793,0.28669,1.74651,1.39935,1.74773,0.0008408,0.0008408,0.0008408
10,1012.21,1.13225,1.54119,1.31787,0.74606,0.58116,0.64316,0.32124,1.74417,1.25225,1.73401,0.0008209,0.0008209,0.0008209
11,1110.75,1.11244,1.51588,1.30786,0.6581,0.5599,0.60397,0.29122,1.80023,1.40666,1.79305,0.000801,0.000801,0.000801
12,1208.89,1.09621,1.4988,1.29928,0.76586,0.58399,0.64887,0.32121,1.77213,1.26544,1.73823,0.0007811,0.0007811,0.0007811
13,1307.92,1.08813,1.46829,1.28593,0.73308,0.59857,0.65176,0.31736,1.6734,1.25722,1.69923,0.0007612,0.0007612,0.0007612
14,1406.07,1.07621,1.44823,1.27761,0.67439,0.57097,0.6074,0.3013,1.67286,1.39493,1.68039,0.0007413,0.0007413,0.0007413
15,1503.97,1.05019,1.39745,1.26061,0.77779,0.60697,0.68113,0.34718,1.67128,1.16005,1.67622,0.0007214,0.0007214,0.0007214
16,1603.95,1.03236,1.36805,1.25128,0.72929,0.59252,0.65861,0.352,1.59116,1.1659,1.59797,0.0007015,0.0007015,0.0007015
17,1703.41,1.02669,1.33285,1.23905,0.80846,0.58317,0.68374,0.35891,1.58213,1.17606,1.59581,0.0006816,0.0006816,0.0006816
18,1803.04,1.02786,1.3247,1.242,0.76675,0.63611,0.68022,0.34005,1.67667,1.14019,1.68637,0.0006617,0.0006617,0.0006617
19,1903.48,1.00431,1.31072,1.23312,0.77274,0.64593,0.70082,0.37719,1.52031,1.08863,1.5774,0.0006418,0.0006418,0.0006418
20,2002.43,0.9984,1.28294,1.21819,0.7782,0.61108,0.6831,0.37471,1.55842,1.13498,1.59688,0.0006219,0.0006219,0.0006219
21,2102.57,0.98795,1.26628,1.21731,0.79655,0.66895,0.72908,0.40579,1.5,1.0159,1.54497,0.000602,0.000602,0.000602
22,2200.89,0.97022,1.22978,1.20305,0.82222,0.67839,0.75269,0.41968,1.44075,0.93992,1.49984,0.0005821,0.0005821,0.0005821
23,2299.76,0.96698,1.22107,1.19652,0.80863,0.66465,0.73688,0.41846,1.4419,1.00687,1.51282,0.0005622,0.0005622,0.0005622
24,2398.91,0.95585,1.2049,1.19114,0.80723,0.67534,0.73645,0.41102,1.45086,0.9491,1.51086,0.0005423,0.0005423,0.0005423
25,2497.07,0.95024,1.19514,1.18684,0.81675,0.66807,0.7344,0.4131,1.46819,0.97031,1.53899,0.0005224,0.0005224,0.0005224
26,2595.31,0.93031,1.17597,1.1786,0.81879,0.6951,0.75721,0.42962,1.42027,0.94821,1.49046,0.0005025,0.0005025,0.0005025
27,2694.96,0.92077,1.17447,1.17339,0.811,0.65209,0.73172,0.41499,1.48548,1.06458,1.50214,0.0004826,0.0004826,0.0004826
28,2793.68,0.91987,1.14694,1.16456,0.89058,0.6759,0.75893,0.43385,1.40044,0.91611,1.50143,0.0004627,0.0004627,0.0004627
29,2892.84,0.90484,1.11909,1.1558,0.85216,0.68478,0.76167,0.44227,1.4286,0.88933,1.48172,0.0004428,0.0004428,0.0004428
30,2989.92,0.90575,1.11217,1.15454,0.83604,0.69068,0.75704,0.43823,1.38419,0.89503,1.49565,0.0004229,0.0004229,0.0004229
31,3087.46,0.89144,1.09959,1.14851,0.85082,0.67679,0.7582,0.43715,1.43805,0.92262,1.50092,0.000403,0.000403,0.000403
32,3188.26,0.89006,1.09734,1.14255,0.86413,0.69741,0.77338,0.44952,1.42197,0.88764,1.48196,0.0003831,0.0003831,0.0003831
33,3287.6,0.8742,1.08067,1.14011,0.87311,0.72735,0.78737,0.46179,1.40414,0.84735,1.46325,0.0003632,0.0003632,0.0003632
34,3385.95,0.8637,1.05259,1.12935,0.8465,0.71116,0.77323,0.48054,1.30583,0.85431,1.40424,0.0003433,0.0003433,0.0003433
35,3485.07,0.84741,1.04698,1.11916,0.84291,0.70848,0.78314,0.46826,1.41102,0.8528,1.47546,0.0003234,0.0003234,0.0003234
36,3583.86,0.84472,1.03008,1.11702,0.87971,0.70294,0.7844,0.48142,1.31324,0.80375,1.40549,0.0003035,0.0003035,0.0003035
37,3683.31,0.83123,1.02678,1.11625,0.8706,0.7177,0.78822,0.48059,1.29214,0.81273,1.38431,0.0002836,0.0002836,0.0002836
38,3781.04,0.83378,1.00095,1.11009,0.85654,0.72352,0.78886,0.46877,1.34783,0.78433,1.42606,0.0002637,0.0002637,0.0002637
39,3880.19,0.82055,0.99256,1.10305,0.85027,0.72794,0.78815,0.48066,1.28587,0.79619,1.38917,0.0002438,0.0002438,0.0002438
40,3982.39,0.81641,0.98677,1.10003,0.86049,0.70993,0.7933,0.49327,1.28108,0.78105,1.36463,0.0002239,0.0002239,0.0002239
41,4081.26,0.82852,0.91591,1.10411,0.85509,0.72792,0.80425,0.49027,1.30315,0.77618,1.39985,0.000204,0.000204,0.000204
42,4177.38,0.79754,0.88078,1.08517,0.90481,0.68413,0.79591,0.49849,1.27039,0.77867,1.37265,0.0001841,0.0001841,0.0001841
43,4273.82,0.79313,0.87963,1.07989,0.8992,0.70112,0.79519,0.49775,1.28804,0.78376,1.38987,0.0001642,0.0001642,0.0001642
44,4369.65,0.77556,0.85775,1.07526,0.89614,0.72695,0.80945,0.50434,1.27875,0.75711,1.3765,0.0001443,0.0001443,0.0001443
45,4465.88,0.77068,0.85046,1.0698,0.86605,0.73428,0.80646,0.49586,1.29758,0.77073,1.39267,0.0001244,0.0001244,0.0001244
46,4561.92,0.76188,0.84711,1.06422,0.86863,0.74431,0.80448,0.50732,1.25462,0.7545,1.36669,0.0001045,0.0001045,0.0001045
47,4657.23,0.74854,0.82716,1.05734,0.85131,0.74403,0.81213,0.512,1.24488,0.73819,1.36233,8.46e-05,8.46e-05,8.46e-05
48,4753.43,0.74388,0.81325,1.05669,0.85426,0.75445,0.81403,0.5192,1.21651,0.72333,1.33908,6.47e-05,6.47e-05,6.47e-05
49,4849.71,0.73559,0.81251,1.05041,0.85899,0.74466,0.81322,0.51674,1.24253,0.74065,1.3481,4.48e-05,4.48e-05,4.48e-05
50,4944.18,0.72687,0.8083,1.04538,0.86514,0.74524,0.81423,0.51786,1.22701,0.73847,1.33763,2.49e-05,2.49e-05,2.49e-05
