epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.622,1.25573,1.75753,1.46241,0.58631,0.45145,0.46668,0.21144,2.01015,1.90325,2.04337,0.00023654,0.00023654,0.00023654
2,274.69,1.2551,1.5256,1.45364,0.54613,0.36116,0.38106,0.17237,2.0714,2.82578,2.07925,0.000469842,0.000469842,0.000469842
3,411.048,1.2778,1.5548,1.46841,0.59597,0.43074,0.46622,0.21337,1.99608,2.2557,1.99067,0.000698432,0.000698432,0.000698432
4,545.684,1.23246,1.48101,1.44119,0.58455,0.50553,0.503,0.22116,2.02682,1.88508,2.0623,0.000692794,0.000692794,0.000692794
5,679.907,1.18724,1.37331,1.40513,0.75918,0.49845,0.56989,0.25152,1.97592,1.49087,2.01682,0.000685726,0.000685726,0.000685726
6,814.621,1.15295,1.28539,1.377,0.73018,0.56157,0.62376,0.30995,1.82449,1.33265,1.84802,0.000678657,0.000678657,0.000678657
7,949.02,1.12302,1.22886,1.3519,0.75958,0.51843,0.59895,0.30334,1.73721,1.38661,1.82946,0.000671588,0.000671588,0.000671588
8,1083.0,1.1048,1.16153,1.33562,0.79107,0.54653,0.62223,0.30104,1.8188,1.33922,1.82625,0.00066452,0.00066452,0.00066452
9,1216.8,1.06506,1.10583,1.31237,0.83925,0.57205,0.66158,0.33293,1.7094,1.17457,1.78254,0.000657451,0.000657451,0.000657451
10,1353.44,1.06629,1.08963,1.30962,0.77791,0.58006,0.64983,0.29674,1.83104,1.20777,1.88757,0.000650383,0.000650383,0.000650383
11,1486.9,1.04575,1.05263,1.29728,0.79285,0.64196,0.71107,0.35329,1.7092,1.11411,1.78253,0.000643314,0.000643314,0.000643314
12,1621.34,1.02147,0.9967,1.27673,0.77634,0.63721,0.69476,0.37803,1.59337,1.08893,1.64716,0.000636245,0.000636245,0.000636245
13,1761.23,1.00458,0.96921,1.26824,0.8263,0.59462,0.69516,0.39148,1.54306,1.07594,1.61078,0.000629177,0.000629177,0.000629177
14,1895.7,0.98488,0.93513,1.25435,0.82233,0.66499,0.72258,0.37778,1.625,0.98114,1.66842,0.000622108,0.000622108,0.000622108
15,2029.03,0.97454,0.92052,1.25199,0.81693,0.64176,0.71522,0.39202,1.54339,1.01224,1.63698,0.00061504,0.00061504,0.00061504
16,2169.03,0.94712,0.87868,1.22671,0.88159,0.67167,0.74854,0.43166,1.46912,0.93781,1.57303,0.000607971,0.000607971,0.000607971
17,2312.6,0.93711,0.85382,1.21842,0.81433,0.67539,0.73993,0.40034,1.57213,0.99177,1.66213,0.000600902,0.000600902,0.000600902
18,2446.3,0.92889,0.84001,1.2114,0.79289,0.67295,0.7352,0.43191,1.39402,0.97263,1.52436,0.000593834,0.000593834,0.000593834
